Node,degree,indegree_defines,outdegree_defines,indegree_calls,outdegree_calls,betweenness,closeness,pagerank,hubs,authorities,eigenvector,combined_score
judini-python-main\src\judini\codegpt::CodeGPTPlus,0.8571428571428571,0.03333333333333333,0.4666666666666667,0.6666666666666666,0.047619047619047616,0.16806722689075632,0.42857142857142855,0.13321977623900097,0.02328953904121081,0.3659085943107689,0.5532727421637227,7.487515757290919
judini-python-main\src\judini\codegpt::JUDINI_TUTORIAL,0.42857142857142855,0.03333333333333333,0.0,0.6190476190476191,0.047619047619047616,0.00546218487394958,0.38496240601503756,0.12470328399848687,0.004776357048638034,0.35153699894777873,0.5160052015433493,5.032035721997338
judini-python-main\src\judini\codegpt::CodeGPTPlus.update_document_metadata,0.14285714285714285,0.03333333333333333,0.0,0.047619047619047616,0.14285714285714285,0.0005494505494505495,0.22959183673469385,0.024297227110739318,0.06864280297501629,0.035887246524646234,0.18086206070267874,1.8129945825277836
judini-python-main\src\judini\codegpt::CodeGPTPlus.upload_document,0.14285714285714285,0.03333333333333333,0.0,0.0,0.19047619047619047,0.0001292824822236587,0.22167487684729065,0.020038980990482284,0.07203491994952509,0.00876792208281542,0.14359452008230536,1.665814338202618
judini-python-main\src\judini\codegpt::CodeGPTPlus.get_document,0.11428571428571428,0.03333333333333333,0.0,0.047619047619047616,0.09523809523809523,0.0001292824822236587,0.22959183673469385,0.02692317652957655,0.06548380708389683,0.034610200324819776,0.19053435851551184,1.6754977042938257
judini-python-main\src\judini\codegpt::base_url,0.11428571428571428,,,0.19047619047619047,0.0,0.0,0.2752380952380952,0.13720952071754008,-0.0,0.05233013273013323,0.31478428297223177,2.1686478728398098
judini-python-main\src\judini\codegpt::CodeGPTPlus._generate_document_metadata,0.11428571428571428,0.03333333333333333,0.0,0.047619047619047616,0.09523809523809523,0.0001292824822236587,0.22959183673469385,0.024297227110739318,0.06548380708389683,0.03588724652464623,0.18086206070267874,1.6534553022301381
judini-python-main\src\judini\codegpt::CodeGPTPlus.update_agent_documents,0.08571428571428572,0.03333333333333333,0.0,0.0,0.09523809523809523,0.0001292824822236587,0.22167487684729065,0.020038980990482284,0.06548380708389683,0.00876792208281542,0.14359452008230536,1.3479502077094567
judini-python-main\src\judini\codegpt::CodeGPTPlus.update_agent,0.08571428571428572,0.03333333333333333,0.0,0.0,0.09523809523809523,0.0001292824822236587,0.22167487684729065,0.020038980990482284,0.06548380708389683,0.008767922082815386,0.14359452008230536,1.3479502077094567
judini-python-main\src\judini\codegpt::CodeGPTPlus.get_documents,0.08571428571428572,0.03333333333333333,0.0,0.0,0.09523809523809523,0.0001292824822236587,0.22167487684729065,0.020038980990482284,0.06548380708389683,0.008767922082815406,0.14359452008230536,1.3479502077094567
judini-python-main\src\judini\codegpt::CodeGPTPlus.get_agents,0.08571428571428572,0.03333333333333333,0.0,0.0,0.09523809523809523,0.0001292824822236587,0.22167487684729065,0.020038980990482284,0.06548380708389683,0.0087679220828154,0.14359452008230536,1.3479502077094567
judini-python-main\src\judini\codegpt::CodeGPTPlus.get_agent,0.08571428571428572,0.03333333333333333,0.0,0.0,0.09523809523809523,0.0001292824822236587,0.22167487684729065,0.020038980990482284,0.06548380708389683,0.008767922082815412,0.14359452008230536,1.3479502077094567
judini-python-main\src\judini\codegpt::CodeGPTPlus.delete_document,0.08571428571428572,0.03333333333333333,0.0,0.0,0.09523809523809523,0.0001292824822236587,0.22167487684729065,0.020038980990482284,0.06548380708389683,0.008767922082815391,0.14359452008230536,1.3479502077094567
judini-python-main\src\judini\codegpt::CodeGPTPlus.delete_agent,0.08571428571428572,0.03333333333333333,0.0,0.0,0.09523809523809523,0.0001292824822236587,0.22167487684729065,0.020038980990482284,0.06548380708389683,0.008767922082815417,0.14359452008230536,1.3479502077094567
judini-python-main\src\judini\codegpt::CodeGPTPlus.create_agent,0.08571428571428572,0.03333333333333333,0.0,0.0,0.09523809523809523,0.0001292824822236587,0.22167487684729065,0.020038980990482284,0.06548380708389683,0.00876792208281541,0.14359452008230536,1.3479502077094567
judini-python-main\src\judini\codegpt::CodeGPTPlus.chat_completion,0.08571428571428572,0.03333333333333333,0.0,0.0,0.09523809523809523,0.0001292824822236587,0.22167487684729065,0.020038980990482284,0.06548380708389683,0.00876792208281539,0.14359452008230536,1.3479502077094567
judini-python-main\src\judini\codegpt::CodeGPTPlus.__init__,0.08571428571428572,0.03333333333333333,0.0,0.0,0.09523809523809523,0.0,0.22167487684729065,0.020038980990482284,0.038174133863125126,0.008767922082815427,0.14359452008230536,1.2930722963034662
judini-python-main\streamlit::completion,0.05714285714285714,0.03333333333333333,0.0,0.0,0.047619047619047616,0.0,0.02857142857142857,0.015143815749903835,-5.2221475326804204e-18,-1.9379779460287958e-18,8.92111563337931e-14,0.3636209648333194
judini-python-main\streamlit::CODEGPT_API_KEY,0.05714285714285714,0.03333333333333333,0.0,0.047619047619047616,0.0,0.0,0.05714285714285714,0.028016187559947045,-0.0,-5.72142473309084e-17,9.813227196717242e-13,0.44650856559804714
judini-python-main\src\judini\types::Document,0.05714285714285714,0.03333333333333333,0.03333333333333333,,,0.0008403361344537816,0.02857142857142857,0.01602851935720334,3.4953894237870243e-19,1.1682923556251126e-17,8.92111563337931e-14,0.33849961574539744
judini-python-main\src\judini\utils::handle_non_stream,0.02857142857142857,0.03333333333333333,0.0,,,0.0,0.02857142857142857,0.017797926571802354,-0.0,-2.1914032749394883e-18,8.92111563337931e-14,0.21654823409616408
