ID,degree,indegree_nodes_defines,outdegree_nodes_defines,indegree_nodes_calls,outdegree_nodes_calls,betweenness,closeness,pagerank,eigenvector
\src\judini\codegpt::CodeGPTPlus,1,0,0.875,0,0.05555555555555555,0,0,0,0
\src\judini\codegpt::CodeGPTPlus.__init__,1,0.0625,0,0.7222222222222222,0.05555555555555555,1,1,0.5018090085040535,0.0050796627794561545
\src\judini\codegpt::JUDINI_TUTORIAL,0.9285714285714285,,,0.7222222222222222,0.05555555555555555,1,0.9333333333333333,0.49693469385392924,0.0050796617768297655
\src\judini\codegpt::CodeGPTPlus.upload_document,0.28571428571428575,0.0625,0,0,0.2222222222222222,0.011834319526627219,1,0.004874314650124307,1.0026263836553859e-9
\src\judini\codegpt::CodeGPTPlus.update_document_metadata,0.28571428571428575,0.0625,0,0.05555555555555555,0.16666666666666666,0.16568047337278105,1,0.024188734868115548,2.4815002995470847e-7
\src\judini\codegpt::CodeGPTPlus._generate_document_metadata,0.21428571428571433,0.0625,0,0.05555555555555555,0.1111111111111111,0.011834319526627219,1,0.024188734868115548,2.4815002995470847e-7
\src\judini\codegpt::CodeGPTPlus.get_document,0.21428571428571433,0.0625,0,0.05555555555555555,0.1111111111111111,0.011834319526627219,0.75,0.03609904114057933,0.000040697941747750394
\src\judini\codegpt::CodeGPTPlus.delete_document,0.14285714285714285,0.0625,0,0,0.1111111111111111,0.011834319526627219,1,0.004874314650124307,1.0026263836553859e-9
\src\judini\codegpt::CodeGPTPlus.get_documents,0.14285714285714285,0.0625,0,0,0.1111111111111111,0.011834319526627219,1,0.004874314650124307,1.0026263836553859e-9
\src\judini\codegpt::CodeGPTPlus.update_agent_documents,0.14285714285714285,0.0625,0,0,0.1111111111111111,0.011834319526627219,1,0.004874314650124307,1.0026263836553859e-9
\src\judini\codegpt::CodeGPTPlus.delete_agent,0.14285714285714285,0.0625,0,0,0.1111111111111111,0.011834319526627219,1,0.004874314650124307,1.0026263836553859e-9
\src\judini\codegpt::CodeGPTPlus.update_agent,0.14285714285714285,0.0625,0,0,0.1111111111111111,0.011834319526627219,1,0.004874314650124307,1.0026263836553859e-9
\src\judini\codegpt::CodeGPTPlus.create_agent,0.14285714285714285,0.0625,0,0,0.1111111111111111,0.011834319526627219,1,0.004874314650124307,1.0026263836553859e-9
\src\judini\codegpt::CodeGPTPlus.get_agent,0.14285714285714285,0.0625,0,0,0.1111111111111111,0.011834319526627219,1,0.004874314650124307,1.0026263836553859e-9
\src\judini\codegpt::CodeGPTPlus.get_agents,0.14285714285714285,0.0625,0,0,0.1111111111111111,0.011834319526627219,1,0.004874314650124307,1.0026263836553859e-9
\src\judini\codegpt::CodeGPTPlus.chat_completion,0.14285714285714285,0.0625,0,0,0.1111111111111111,0.011834319526627219,1,0.004874314650124307,1.0026263836553859e-9
\src\judini\codegpt::base_url,0.14285714285714285,,,0.16666666666666666,0,0,0.5517241379310345,1,1
\src\judini\types::Document,0,0,0.0625,,,0,0,0,0
\src\judini\types::Document.json_loads,0,0.0625,0,,,0,1,0.07311471975186451,1.0026263836553859e-9
\streamlit::completion,0,,,0,0.05555555555555555,0,0,0,0
\streamlit::CODEGPT_API_KEY,0,,,0.05555555555555555,0,0,1,0.07311471975186451,1.0026263836553859e-9
